ChamberNo,LoadDateJalali,LoadTime,LoadOperatorCode_FK,ProductCode_FK,UnloadDateJalali,UnloadTime,LoadOperatorCode_FK.1,loadFingerCount
5,1404-01-19,12:10:00,4,91000000,1404-01-24,10:15:00,8,8
32,1404-01-19,13:30:00,4,91000000,1404-01-24,11:50:00,8,8
26,1404-01-20,7:30:00,4,91000000,1404-01-24,14:00:00,5,8
16,1404-01-20,9:00:00,4,91000000,1404-01-24,15:00:00,5,8
13,1404-01-20,10:40:00,4,91000000,1404-01-24,16:10:00,5,8
2,1404-01-20,12:00:00,4,91000000,1404-01-24,17:30:00,5,8
31,1404-01-20,13:30:00,4,91000000,1404-01-253,6:00:00,5,8
7,1404-01-20,15:20:00,8,91000000,1404-01-24,19:00:00,5,8
19,1404-01-20,12:35:00,8,91000000,1404-01-25,7:00:00,4,8
27,1404-01-20,18:00:00,8,91000000,1404-01-25,8:20:00,4,8
11,1404-01-20,19:50:00,8,91000000,1404-01-25,10:15:00,4,8
29,1404-01-20,21:10:00,8,91000000,1404-01-25,11:30:00,4,8
3,1404-01-21,7:30:00,4,91000000,1404-01-26,6:00:00,4,8
23,1404-01-21,9:40:00,4,91000000,1404-01-26,7:15:00,4,8
17,1404-01-21,11:00:00,4,91000000,1404-01-26,8:40:00,4,8
21,1404-01-21,12:10:00,4,91000000,1404-01-26,10:20:00,4,8
15,1404-01-21,13:30:00,4,91000000,1404-01-27,6:00:00,4,8
25,1404-01-23,8:00:00,4,91000000,1404-01-27,7:10:00,4,8
6,1404-01-23,9:45:00,4,91000000,1404-01-27,8:20:00,4,8
28,1404-01-23,11:00:00,4,91000000,1404-01-27,9:30:00,4,8
10,1404-01-23,12:10:00,4,91000000,1404-01-27,10:45:00,4,8
18,1404-01-23,13:30:00,4,91000000,1404-01-28,6:00:00,4,8
4,1404-01-24,7:30:00,8,91000000,1404-01-28,7:10:00,4,8
12,1404-01-24,9:35:00,8,91000000,1404-01-30,6:00:00,4,8
30,1404-01-24,10:45:00,8,91000000,1404-01-30,6:50:00,4,8
14,1404-01-24,12:00:00,8,91000000,1404-01-30,8:10:00,4,8
24,1404-01-24,13:20:00,8,91000000,1404-01-30,10:00:00,4,8
1,1404-01-24,15:00:00,5,91000000,1404-01-30,11:20:00,4,8
20,1404-01-24,16:30:00,5,91000000,1404-01-30,14:00:00,8,8
5,1404-01-24,17:50:00,5,91000000,1404-01-30,14:50:00,8,8
32,1404-01-24,19:50:00,5,91000000,1404-01-30,6:00:00,8,8
26,1404-01-24,21:00:00,5,91000000,1404-01-30,17:45:00,8,8
16,1404-01-25,7:30:00,4,91000000,1404-01-30,19:40:00,8,8
13,1404-01-25,8:40:00,4,91000000,1404-01-31,6:00:00,4,8
2,1404-01-25,10:35:00,4,91000000,1404-01-31,7:00:00,4,8
7,1404-01-25,11:50:00,4,91000000,1404-01-31,8:30:00,4,8
31,1404-01-25,13:10:00,4,91000000,1404-01-31,10:30:00,4,8
27,1404-01-25,20:30:00,5,92000000,1404-02-07,14:00:00,5,8
19,1404-01-26,7:45:00,4,91000000,1404-01-31,11:50:00,4,8
11,1404-01-26,8:45:00,4,91000000,1404-02-01,6:00:00,4,8
29,1404-01-26,10:30:00,4,91000000,1404-02-01 ,7:00:00,4,8
8,1404-01-26,11:50:00,4,91000000,1404-02-01,8:30:00,4,8
3,1404-01-26,13:00:00,4,91000000,1404-02-01,11:40:00,4,8
23,1404-01-27,7:40:00,4,91000000,1404-02-01,10:20:00,4,8
17,1404-01-27,8:50:00,4,91000000,1404-02-02,6:00:00,4,8
21,1404-01-27,10:30:00,4,91000000,1404-02-02,7:40:00,4,8
15,1404-01-27,11:50:00,4,91000000,1404-02-02,10:30:00,4,8
25,1404-01-28,7:50:00,4,91000000,1404-02-02,10:00:00,4,8
10,1404-01-28,9:30:00,4,91000000,1404-02-02,11:40:00,4,8
6,1404-01-28,11:25:00,4,91000000,1404-02-03,6:00:00,4,8
28,1404-01-28,12:50:00,4,91000000,1404-02-03,7:10:00,4,8
4,1404-01-30,7:40:00,4,91000000,1404-02-03,8:30:00,4,8
18,1404-01-30,9:00:00,4,91000000,1404-02-03,20:20:00,4,8
9,1404-01-30,11:00:00,4,91000000,1404-02-03,12:50:00,4,8
22,1404-01-30,12:20:00,4,91000000,1404-02-03,14:00:00,8,8
12,1404-01-30,14:35:00,8,91000000,1404-02-03,14:50:00,8,8
30,1404-01-30,15:50:00,8,91000000,1404-02-03,16:15:00,8,8
14,1404-01-30,17:20:00,8,91000000,1404-02-06,6:00:00,4,8
24,1404-01-30,18:45:00,8,91000000,1404-02-07,6:30:00,4,8
1,1404-01-30,20:20:00,8,91000000,1404-02-07,7:45:00,4,8
20,1404-01-30,21:30:00,8,91000000,1404-02-07,9:35:00,4,8
5,1404-01-31,7:30:00,4,91000000,1404-02-07,10:40:00,4,8
32,1404-01-31,9:50:00,4,91000000,1404-02-07,14:00:00,5,8
26,1404-01-31,11:10:00,4,91000000,1404-02-07,14:40:00,5,8
16,1404-01-31,12:20:00,4,91000000,1404-02-07,16:50:00,5,8
7,1404-01-31,13:30:00,4,91000000,1404-02-07,17:00:00,5,8
31,1404-02-01,7:30:00,4,91000000,1404-02-08,8:30:00,4,8
19,1404-02-01,9:00:00,4,91000000,1404-02-08,6:10:00,4,8
11,1404-02-01,10:30:00,4,91000000,1404-02-08,7:30:00,4,8
13,1404-02-01,11:50:00,4,91000000,1404-02-07,10:20:00,4,8
29,1404-02-01,13:10:00,4,91000000,1404-02-08,11:40:00,4,8
3,1404-02-02,7:30:00,4,91000000,1404-02-08,6:00:00,4,8
8,1404-02-02,9:00:00,4,91000000,1404-02-08,7:20:00,4,8
17,1404-02-02,10:40:00,4,91000000,1404-02-08,8:30:00,4,8
2,1404-02-02,11:50:00,4,91000000,1404-02-08,10:20:00,4,8
21,1404-02-02,13:10:00,4,91000000,1404-02-08,11:40:00,4,8
25,1404-02-03,7:40:00,4,91000000,1404-02-09,6:00:00,4,8
16,1404-02-03,9:00:00,4,91000000,1404-02-09,7:30:00,4,8
10,1404-02-03,10:50:00,4,91000000,1404-02-09,8:50:00,4,8
23,1404-02-03,12:00:00,4,91000000,1404-02-09,10:45:00,4,8
6,1404-02-03,13:10:00,4,91000000,1404-02-09,12:10:00,4,8
28,1404-02-03,15:10:00,8,91000000,1404-02-10,6:50:00,4,8
4,1404-02-03,16:45:00,8,91000000,1404-02-10,8:20:00,4,8
18,1404-02-03,17:50:00,8,91000000,1404-02-10,10:15:00,4,8
9,1404-02-03,19:00:00,8,91000000,1404-02-10,11:30:00,4,8
22,1404-02-06,7:40:00,4,91000000,1404-02-10,14:00:00,4,8
12,1404-02-06,9:00:00,4,91000000,1404-02-10,15:10:00,5,8
30,1404-02-06,10:50:00,4,91000000,1404-02-10,16:20:00,5,8
14,1404-02-06,12:00:00,4,91000000,1404-02-10,17:40:00,5,8
24,1404-02-06,14:50:00,5,91000000,1404-02-10,19:00:00,5,8
1,1404-02-06,16:00:00,5,91000000,1404-02-13,6:10:00,4,8
20,1404-02-06,17:30:00,5,91000000,1404-02-13,7:20:00,4,8
5,1404-02-06,19:00:00,5,91000000,1404-02-13,8:40:00,4,8
32,1404-02-07,7:30:00,4,91000000,1404-02-13,10:10:00,4,8
26,1404-02-07,9:30:00,4,91000000,1404-02-13,11:40:00,4,8
16,1404-02-07,10:40:00,4,91000000,1404-02-13,14:00:00,8,8
7,1404-02-07,12:00:00,4,91000000,1404-02-13,15:30:00,8,8
19,1404-02-07,13:30:00,4,91000000,1404-02-13,16:45:00,8,8
31,1404-02-07,21:00:00,5,92000000,1404-02-22,6:00:00,4,8
13,1404-02-08,7:45:00,4,91000000,1404-02-13,18:10:00,8,8
11,1404-02-08,9:00:00,4,91000000,1404-02-14,6:00:00,4,8
29,1404-02-08,10:45:00,4,91000000,1404-02-14,6:20:00,4,8
3,1404-02-08,12:00:00,4,91000000,1404-02-14,7:30:00,4,8
8,1404-02-08,13:10:00,4,91000000,1404-02-14,9:00:00,4,8
27,1404-02-09,7:45:00,4,91000000,1404-02-14,10:30:00,4,8
17,1404-02-09,9:00:00,4,91000000,1404-02-14,11:40:00,4,8
2,1404-02-09,10:50:00,4,91000000,1404-02-15,6:00:00,4,8
21,1404-02-09,12:20:00,4,91000000,1404-02-15,7:30:00,4,8
25,1404-02-09,13:30:00,4,91000000,1404-02-15,10:50:00,4,8
15,1404-02-10,7:50:00,4,91000000,1404-02-15,9:30:00,4,8
10,1404-02-10,9:50:00,4,91000000,1404-02-15,11:40:00,4,8
23,1404-02-10,11:10:00,4,91000000,1404-02-16,6:00:00,4,8
6,1404-02-10,12:25:00,4,91000000,1404-02-16,8:10:00,4,8
28,1404-02-10,15:00:00,5,91000000,1404-02-16,10:00:00,4,8
4,1404-02-10,16:10:00,5,91000000,1404-02-16,11:20:00,4,8
18,1404-02-10,17:30:00,5,91000000,1404-02-17,6:00:00,4,8
9,1404-02-10,20:30:00,5,91000000,1404-02-17,7:00:00,4,8
22,1404-02-10,21:30:00,5,91000000,1404-02-17,8:20:00,4,8
12,1404-02-13,7:40:00,4,91000000,1404-02-17,10:00:00,4,8
30,1404-02-13,9:00:00,4,91000000,1404-02-17,11:10:00,4,8
14,1404-02-13,10:50:00,4,91000000,1404-02-18,6:00:00,4,8
24,1404-02-13,12:20:00,4,91000000,1404-02-18,7:10:00,4,8
1,1404-02-13,15:25:00,8,91000000,1404-02-20,6:00:00,4,8
20,1404-02-13,16:50:00,8,91000000,1404-02-20,7:00:00,4,8
5,1404-02-13,18:15:00,8,91000000,1404-02-20,8:15:00,4,8
32,1404-02-13,20:10:00,8,91000000,1404-02-20,10:10:00,4,8
16,1404-02-13,21:20:00,8,91000000,1404-02-20,11:35:00,4,8
7,1404-02-14,7:30:00,4,91000000,1404-02-21,6:00:00,4,8
19,1404-02-14,9:00:00,4,91000000,1404-02-21,7:00:00,4,8
13,1404-02-14,10:30:00,4,91000000,1404-02-21,8:25:00,4,8
11,1404-02-14,11:40:00,4,91000000,1404-02-21,10:10:00,4,8
29,1404-02-14,13:00:00,4,91000000,1404-02-21,11:15:00,4,8
3,1404-02-15,7:30:00,4,91000000,1404-02-22,12:10:00,4,8
27,1404-02-15,9:00:00,4,91000000,1404-02-23,6:00:00,4,8
8,1404-02-15,10:40:00,4,91000000,1404-02-23,8:00:00,4,8
17,1404-02-15,12:00:00,4,91000000,1404-02-23,9:45:00,4,8
21,1404-02-15,13:20:00,4,91000000,1404-02-23,11:20:00,4,8
2,1404-02-16,8:40:00,4,91000000,1404-02-24,7:00:00,4,8
15,1404-02-16,10:20:00,4,91000000,1404-02-24,6:00:00,4,8
25,1404-02-16,11:40:00,4,91000000,1404-02-24,8:30:00,4,8
10,1404-02-16,13:00:00,4,91000000,1404-02-24,10:00:00,4,8
23,1404-02-17,7:30:00,4,91000000,1404-02-25,6:00:00,4,8
6,1404-02-17,9:00:00,4,91000000,1404-02-25,6:30:00,4,8
28,1404-02-17,9:00:00,4,91000000,1404-02-25,8:00:00,4,8
4,1404-02-17,12:10:00,4,91000000,1404-02-25,9:50:00,4,8
18,1404-02-17,13:20:00,4,91000000,1404-02-25,11:10:00,4,8
9,1404-02-18,7:30:00,4,91000000,1404-02-27,6:10:00,4,8
22,1404-02-18,9:00:00,4,91000000,1404-02-27,7:10:00,4,8
12,1404-02-18,10:40:00,4,91000000,1404-02-27,8:30:00,4,8
30,1404-02-20,7:45:00,4,91000000,1404-02-27,10:10:00,4,8
26,1404-02-20,9:40:00,4,91000000,1404-02-27,11:20:00,4,8
14,1404-02-20,10:50:00,4,91000000,1404-02-28,6:00:00,4,8
1,1404-02-20,12:10:00,4,91000000,1404-02-28,7:00:00,4,8
20,1404-02-20,13:30:00,4,91000000,1404-02-28,8:10:00,4,8
5,1404-02-21,7:40:00,4,91000000,1404-02-28,9:50:00,4,8
16,1404-02-21,8:50:00,4,91000000,1404-02-28,11:40:00,4,8
24,1404-02-21,10:40:00,4,91000000,1404-02-29,12:10:00,4,8
32,1404-02-21,11:50:00,4,91000000,1404-02-30,6:10:00,4,8
7,1404-02-21,13:10:00,4,91000000,1404-02-30,7:20:00,4,8
29,1404-02-22,12:00:00,4,92000000,1404-02-29,6:50:00,4,8
19,1404-02-22,13:30:00,4,91000000,1404-02-31,6:00:00,4,8
31,1404-02-23,8:20:00,4,91000000,1404-02-31,8:30:00,4,8
13,1404-02-23,10:00:00,4,91000000,1404-02-30,9:30:00,4,8
11,1404-02-23,11:40:00,4,91000000,1404-02-30,10:50:00,4,8
3,1404-02-23,13:00:00,4,91000000,1404-02-31,6:50:00,4,8
27,1404-02-24,7:50:00,4,91000000,1404-02-31,10:10:00,4,8
8,1404-02-24,10:00:00,4,91000000,1404-02-31,11:30:00,4,8
17,1404-02-24,11:25:00,4,91000000,1404-03-01,6:00:00,4,8
21,1404-02-24,12:45:00,4,91000000,1404-03-01,7:00:00,4,8
25,1404-02-25,7:45:00,4,91000000,1404-03-01,10:20:00,4,8
2,1404-02-25,9:30:00,4,91000000,1404-03-01,8:30:00,4,8
15,1404-02-25,10:45:00,4,91000000,1404-03-01,12:00:00,4,8
10,1404-02-25,12:00:00,4,91000000,1404-03-03,6:00:00,4,8
23,1404-02-25,13:30:00,4,91000000,1404-03-03,7:30:00,4,8
6,1404-02-27,7:50:00,4,91000000,1404-03-03,8:40:00,4,8
28,1404-02-27,9:40:00,4,91000000,1404-03-03,10:10:00,4,8
4,1404-02-27,10:50:00,4,91000000,1404-03-03,12:10:00,4,8
18,1404-02-27,12:00:00,4,91000000,1404-03-04,6:00:00,4,8
9,1404-02-27,13:30:00,4,91000000,1404-03-04,7:20:00,4,8
22,1404-02-28,7:30:00,4,91000000,1404-03-04,9:25:00,4,8
12,1404-02-28,8:50:00,4,91000000,1404-03-04,11:00:00,4,8
30,1404-02-28,11:00:00,4,91000000,1404-03-05,6:00:00,4,8
26,1404-02-28,12:20:00,4,91000000,1404-03-05,6:25:00,4,8
14,1404-02-28,13:30:00,4,91000000,1404-03-05,7:35:00,4,8
5,1404-02-29,12:00:00,4,92000000,1404-03-08,6:00:00,4,8
20,1404-02-30,11:30:00,4,91000000,1404-03-05,9:30:00,4,8
29,1404-02-30,13:00:00,4,91000000,1404-03-05,10:35:00,4,8
16,1404-02-31,8:20:00,4,91000000,1404-03-05,11:45:00,4,8
7,1404-02-31,10:00:00,4,91000000,1404-03-05,14:00:00,5,8
13,1404-02-31,11:00:00,4,91000000,1404-03-05,15:20:00,5,8
11,1404-02-31,12:10:00,4,91000000,1404-03-05,16:40:00,5,8
19,1404-02-31,13:20:00,4,91000000,1404-03-05,18:00:00,5,8
3,1404-03-01,7:30:00,4,91000000,1404-03-06,6:00:00,4,8
27,1404-03-01,9:00:00,4,91000000,1404-03-06,6:40:00,4,8
31,1404-03-01,11:30:00,4,91000000,1404-03-06,8:10:00,4,8
8,1404-03-01,13:00:00,4,91000000,1404-03-06,9:50:00,4,8
17,1404-03-03,7:30:00,4,91000000,1404-03-06,14:00:00,5,8
2,1404-03-03,8:50:00,4,91000000,1404-03-06,11:20:00,4,8
21,1404-03-03,10:30:00,4,91000000,1404-03-06,15:00:00,5,8
25,1404-03-03,11:50:00,4,91000000,1404-03-06,16:10:00,5,8
10,1404-03-03,13:00:00,4,91000000,1404-03-06,17:20:00,5,8
23,1404-03-04,8:00:00,4,91000000,1404-03-07,8:40:00,4,8
6,1404-03-04,9:45:00,4,91000000,1404-03-07,6:00:00,4,8
28,1404-03-04,11:10:00,4,91000000,1404-03-07,7:30:00,4,8
4,1404-03-04,12:20:00,4,91000000,1404-03-07,10:30:00,4,8
18,1404-03-04,14:20:00,5,91000000,1404-03-08,8:10:00,4,8
9,1404-03-04,15:30:00,5,91000000,1404-03-08,8:40:00,4,8
22,1404-03-04,16:50:00,5,91000000,1404-03-08,11:40:00,4,8
12,1404-03-04,21:00:00,5,91000000,1404-03-08,10:20:00,4,8
15,1404-03-05,7:30:00,4,91000000,1404-03-10,6:00:00,4,8
32,1404-03-05,9:35:00,4,91000000,1404-03-10,7:50:00,4,8
24,1404-03-05,10:50:00,4,91000000,1404-03-10,9:30:00,4,8
1,1404-03-05,12:00:00,4,91000000,1404-03-10,10:50:00,4,8
30,1404-03-05,13:10:00,4,91000000,1404-03-11,6:00:00,4,8
26,1404-03-05,15:20:00,5,91000000,1404-03-11,6:15:00,4,8
14,1404-03-05,17:20:00,5,91000000,1404-03-11,11:15:00,4,8
20,1404-03-05,18:30:00,5,91000000,1404-03-11,7:40:00,4,8
29,1404-03-05,20:50:00,5,91000000,1404-03-11,9:50:00,4,8
7,1404-03-06,7:50:00,4,91000000,1404-03-12,6:00:00,4,8
13,1404-03-06,9:45:00,4,91000000,1404-03-12,6:50:00,4,8
11,1404-03-06,10:50:00,4,91000000,1404-03-12,8:30:00,4,8
19,1404-03-06,12:00:00,4,91000000,1404-03-12,10:20:00,4,8
3,1404-03-06,14:30:00,5,91000000,1404-03-12,11:30:00,4,8
27,1404-03-06,16:20:00,5,91000000,1404-03-13,6:00:00,4,8
31,1404-03-06,17:30:00,5,91000000,1404-03-13,7:40:00,4,8
8,1404-03-06,18:40:00,5,91000000,1404-03-13,9:30:00,4,8
2,1404-03-06,20:10:00,5,91000000,1404-03-13,11:00:00,4,8
17,1404-03-06,21:30:00,5,91000000,1404-03-17,6:00:00,4,8
21,1404-03-07,7:40:00,4,91000000,1404-03-17,6:40:00,4,8
16,1404-03-07,8:50:00,4,91000000,1404-03-17,8:50:00,4,8
25,1404-03-07,10:40:00,4,91000000,1404-03-17,10:35:00,4,8
10,1404-03-07,12:00:00,4,91000000,1404-03-18,8:00:00,4,8
6,1404-03-07,13:30:00,4,91000000,1404-03-18,8:35:00,4,8
23,1404-03-08,10:25:00,4,91000000,1404-03-18,10:00:00,4,8
28,1404-03-08,11:30:00,4,91000000,1404-03-19,6:10:00,4,8
5,1404-03-08,12:50:00,4,91000000,1404-03-19,10:50:00,4,8
18,1404-03-10,7:50:00,4,91000000,1404-03-19,6:35:00,4,8
9,1404-03-10,9:00:00,4,91000000,1404-03-19,7:50:00,4,8
12,1404-03-10,10:40:00,4,91000000,1404-03-19,9:40:00,4,8
22,1404-03-10,12:00:00,4,91000000,1404-03-19,12:00:00,4,8
15,1404-03-10,13:20:00,4,91000000,1404-03-19,14:00:00,5,8
32,1404-03-11,8:00:00,4,91000000,1404-03-19,15:40:00,5,8
1,1404-03-11,10:15:00,4,91000000,1404-03-19,17:20:00,5,8
24,1404-03-11,11:30:00,4,91000000,1404-03-19,18:40:00,5,8
30,1404-03-11,12:50:00,4,91000000,1404-03-21,6:00:00,4,8
4,1404-03-12,8:00:00,4,91000000,1404-03-18,6:00:00,4,8
20,1404-03-12,10:20:00,4,91000000,1404-03-21,6:50:00,4,8
29,1404-03-12,11:30:00,4,91000000,1404-03-21,8:00:00,4,8
14,1404-03-12,13:00:00,4,91000000,1404-03-21,9:50:00,4,8
7,1404-03-13,7:40:00,4,91000000,1404-03-21,0:00:00,4,8
13,1404-03-13,9:00:00,4,91000000,1404-03-22,6:00:00,4,8
19,1404-03-13,10:30:00,4,91000000,1404-03-22,7:00:00,4,8
11,1404-03-13,11:40:00,4,91000000,1404-03-22,8:30:00,4,8
3,1404-03-13,12:50:00,4,91000000,1404-03-22,10:10:00,4,8
27,1404-03-17,10:10:00,4,91000000,1404-03-22,11:10:00,4,8
31,1404-03-17,11:30:00,4,91000000,1404-03-25,6:00:00,4,8
2,1404-03-17,13:30:00,4,91000000,1404-03-25,7:10:00,4,8
25,1404-03-18,10:00:00,4,91000000,1404-03-25,8:30:00,4,8
16,1404-03-18,11:30:00,4,91000000,1404-03-25,10:20:00,4,8
26,1404-03-18,13:10:00,4,91000000,1404-03-25,11:30:00,4,8
10,1404-03-18,21:00:00,4,92000000,1404-04-02,6:00:00,4,8
21,1404-03-19,7:50:00,4,91000000,1404-03-26,7:20:00,4,8
6,1404-03-19,9:50:00,4,91000000,1404-03-26,8:20:00,4,8
23,1404-03-19,11:00:00,4,91000000,1404-03-26,11:10:00,4,8
28,1404-03-19,12:15:00,4,91000000,1404-03-27,7:40:00,4,8
18,1404-03-19,13:30:00,4,91000000,1404-03-27,7:00:00,4,8
9,1404-03-19,15:30:00,5,91000000,1404-03-27,9:50:00,4,8
12,1404-03-19,17:10:00,5,91000000,1404-03-27,11:30:00,4,8
5,1404-03-19,18:30:00,5,91000000,1404-03-28,7:25:00,4,8
22,1404-03-19,20:30:00,5,91000000,1404-03-28,8:15:00,4,8
15,1404-03-19,21:30:00,5,91000000,1404-03-28,10:00:00,4,8
8,1404-03-20,11:00:00,4,81000000,1404-03-28,6:00:00,4,8
32,1404-03-20,13:30:00,4,81000000,1404-04-04,6:00:00,4,8
1,1404-03-21,7:40:00,4,91000000,1404-03-28,11:10:00,4,8
17,1404-03-21,9:30:00,4,91000000,1404-03-29,6:00:00,4,8
24,1404-03-21,10:45:00,4,91000000,1404-03-29,7:30:00,4,8
30,1404-03-21,12:00:00,4,91000000,1404-03-29,8:50:00,4,8
4,1404-03-21,13:20:00,4,91000000,1404-03-29,10:40:00,4,8
20,1404-03-22,7:45:00,4,91000000,1404-03-31,6:00:00,4,8
14,1404-03-22,9:35:00,4,91000000,1404-03-31,7:10:00,4,8
29,1404-03-22,11:00:00,4,91000000,1404-03-31,10:50:00,4,8
7,1404-03-22,12:15:00,4,91000000,1404-04-01,6:35:00,4,8
13,1404-03-22,13:30:00,4,91000000,1404-04-01,11:30:00,4,8
19,1404-03-25,8:00:00,4,91000000,1404-04-01,10:10:00,4,8
3,1404-03-25,9:30:00,4,91000000,1404-04-02,8:15:00,4,8
11,1404-03-25,10:30:00,4,91000000,1404-04-01,7:10:00,4,8
31,1404-03-25,12:00:00,4,91000000,1404-04-01,8:15:00,4,8
2,1404-03-25,13:10:00,4,91000000,1404-03-31,8:20:00,4,8
25,1404-03-26,8:20:00,4,91000000,1404-04-02,10:20:00,4,8
16,1404-03-26,10:10:00,4,91000000,1404-04-02,11:50:00,4,8
21,1404-03-26,11:30:00,4,91000000,1404-04-03,6:40:00,4,8
27,1404-03-26,12:50:00,4,91000000,1404-04-03,7:50:00,4,8
6,1404-03-27,7:50:00,4,91000000,1404-04-03,9:45:00,4,8
23,1404-03-27,10:10:00,4,91000000,1404-04-03,11:15:00,4,8
26,1404-03-27,11:40:00,4,91000000,1404-04-04,7:00:00,4,8
18,1404-03-27,13:00:00,4,91000000,1404-04-04,7:40:00,4,8
28,1404-03-28,8:00:00,4,91000000,1404-04-04,9:30:00,4,8
9,1404-03-28,9:50:00,4,91000000,1404-04-04,11:00:00,4,8
12,1404-03-28,11:00:00,4,91000000,1404-04-05,6:00:00,4,8
8,1404-03-28,12:50:00,4,91000000,1404-04-05,7:00:00,4,8
